DGUID,Total_jobs_125,HHI_125
2021S051235020145,707615,984.93
2021S051235020146,708855,984.71
2021S051235020147,708555,984.88
2021S051235020148,708555,984.88
2021S051235020150,708555,984.88
2021S051235020151,709255,984.62
2021S051235020152,711180,983.85
2021S051235020153,710365,984.16
2021S051235020154,712100,983.81
2021S051235020155,713155,983.54
2021S051235020156,712945,983.53
2021S051235020157,713380,983.48
2021S051235020158,713380,983.48
2021S051235020159,713905,983.39
2021S051235020160,714050,983.29
2021S051235020161,713835,983.32
2021S051235020162,714820,982.78
2021S051235020163,709750,984.44
2021S051235020164,714490,983.38
2021S051235020165,714755,983.34
2021S051235020166,707985,985.34
2021S051235020167,705095,986.26
2021S051235020168,704990,986.26
2021S051235020169,691900,992.26
2021S051235020170,689220,993.88
2021S051235020171,687020,995.13
2021S051235020172,686780,995.24
2021S051235020173,677055,1000.15
2021S051235020174,672285,1002.44
2021S051235020175,652175,1012.25
2021S051235020176,646620,1015.84
2021S051235020177,643280,1016.63
2021S051235020178,640300,1017.56
2021S051235020179,640950,1017.37
2021S051235020180,638785,1018.38
2021S051235020181,632005,1020.97
2021S051235020182,633830,1020.28
2021S051235020183,629595,1022.71
2021S051235020184,629030,1022.81
2021S051235020185,629245,1022.89
2021S051235020186,628675,1022.98
2021S051235020187,628675,1022.98
2021S051235020188,628675,1022.98
2021S051235020189,627835,1023.18
2021S051235020190,626675,1023.78
2021S051235020191,626780,1023.75
2021S051235020192,627995,1023.14
2021S051235020193,628675,1022.98
2021S051235020194,628675,1022.98
2021S051235020195,627995,1023.14
2021S051235020196,627600,1023.33
2021S051235020197,628440,1022.68
2021S051235020198,619270,1027.04
2021S051235020199,620855,1025.95
2021S051235020200,626695,1023.32
2021S051235020201,618975,1026.12
2021S051235020202,625040,1023.87
2021S051235020203,629085,1022.93
2021S051235020204,629595,1022.71
2021S051235020205,629845,1022.54
2021S051235020206,630860,1022.18
2021S051235020207,707880,985.08
2021S051235020208,708555,984.88
2021S051235060001,705070,985.78
2021S051235060002,706420,984.96
2021S051235060003,706695,984.84
2021S051235060005,707600,984.37
2021S051235060006,706420,984.96
2021S051235060007,708580,984.1
2021S051235060010,710155,983.36
2021S051235060011,709965,983.43
2021S051235060012,709965,983.43
2021S051235060014,709965,983.43
2021S051235060015,710245,983.24
2021S051235060016,710555,983.28
2021S051235060017,710555,983.28
2021S051235060018,710555,983.28
2021S051235060019,710820,983.23
2021S051235060020,710820,983.23
2021S051235060021,710820,983.23
2021S051235060022,710555,983.28
2021S051235060023,710060,983.58
2021S051235060024,710060,983.58
2021S051235060025,710060,983.58
2021S051235060026,709790,983.75
2021S051235060027,709480,983.7
2021S051235060028,709480,983.7
2021S051235060029,709480,983.7
2021S051235060030,709750,983.54
2021S051235060031,709750,983.54
2021S051235060032,710275,983.48
2021S051235060033,709750,983.54
2021S051235060034,709750,983.54
2021S051235060035,709750,983.54
2021S051235060036,709750,983.54
2021S051235060037,709750,983.54
2021S051235060038,709750,983.54
2021S051235060039,709590,983.59
2021S051235060043,709480,983.7
2021S051235060044,709320,983.75
2021S051235060045,709790,983.75
2021S051235060047,710335,983.5
2021S051235060048,710550,983.4
2021S051235060049,710820,983.23
2021S051235060050,710820,983.23
2021S051235060051,710820,983.23
2021S051235060052,710820,983.23
2021S051235060053,710820,983.23
2021S051235060054,710820,983.23
2021S051235060055,711010,983.16
2021S051235060056,710820,983.23
2021S051235060057,711700,982.79
2021S051235060058,711435,982.84
2021S051235060059,710745,983.22
2021S051235060061,711125,982.79
2021S051235060062,710155,983.36
2021S051235060064,710435,983.17
2021S051235060065,711700,982.79
2021S051235060066,711700,982.79
2021S051235060067,711435,982.84
2021S051235060069,711910,982.8
2021S051235060070,711910,982.8
2021S051235060071,711910,982.8
2021S051235060072,712085,982.74
2021S051235060073,712085,982.74
2021S051235060074,712085,982.74
2021S051235060075,712085,982.74
2021S051235060076,712085,982.74
2021S051235060078,712085,982.74
2021S051235060079,712085,982.74
2021S051235060080,712085,982.74
2021S051235060081,712085,982.74
2021S051235060082,712085,982.74
2021S051235060083,712310,982.6
2021S051235060089,714500,982.08
2021S051235060090,712555,982.64
2021S051235060091,712555,982.64
2021S051235060092,712555,982.64
2021S051235060093,712555,982.64
2021S051235060094,712550,982.76
2021S051235060095,712765,982.76
2021S051235060096,712550,982.76
2021S051235060097,712330,982.77
2021S051235060098,712330,982.77
2021S051235060099,712085,982.74
2021S051235060100,712085,982.74
2021S051235060101,712085,982.74
2021S051235060102,711910,982.8
2021S051235060103,711700,982.79
2021S051235060104,711700,982.79
2021S051235060105,711700,982.79
2021S051235060106,712120,982.76
2021S051235060107,712120,982.76
2021S051235060108,712120,982.76
2021S051235060109,712555,982.75
2021S051235060110,712555,982.75
2021S051235060111,712555,982.75
2021S051235060112,712555,982.75
2021S051235060116,711665,982.97
2021S051235060117,711450,982.96
2021S051235060118,711065,983.27
2021S051235060119,711065,983.27
2021S051235060120,710820,983.23
2021S051235060121,711065,983.27
2021S051235060122,711065,983.27
2021S051235060123,711280,983.27
2021S051235060124,711280,983.27
2021S051235060125,710820,983.23
2021S051235060126,711205,982.93
2021S051235060127,711700,982.79
2021S051235060128,711700,982.79
2021S051235060129,711700,982.79
2021S051235060132,712555,982.75
2021S051235060133,713085,982.68
2021S051235060134,713295,982.69
2021S051235060135,717755,982.32
2021S051235060137,718865,981.99
2021S051235060138,718865,981.99
2021S051235060139,719205,981.95
2021S051235060140,719205,981.95
2021S051235060141,719740,981.94
2021S051235060143,719935,981.99
2021S051235060144,719935,981.99
2021S051235060145,720825,981.9
2021S051235060146,720385,981.98
2021S051235060147,720015,981.84
2021S051235060148,720015,981.84
2021S051235060149,719655,981.94
2021S051235060150,719315,981.98
2021S051235060151,719075,982.04
2021S051235060152,719075,982.04
2021S051235060153,719315,981.98
2021S051235060154,719315,981.98
2021S051235060155,719395,981.9
2021S051235060156,718865,981.99
2021S051235060157,717710,982.19
2021S051235060159,718160,982.18
2021S051235060163,719075,982.04
2021S051235060164,719655,981.94
2021S051235060165,720660,981.67
2021S051235060166,721395,981.48
2021S051235060167,721625,981.49
2021S051235060168,722285,981.39
2021S051235060170,720980,981.81
2021S051235060171,721640,981.71
2021S051235060172,721640,981.71
2021S051235060173,721640,981.71
2021S051235060178,723155,981.31
2021S051235060179,723155,981.31
2021S051235060180,723155,981.31
2021S051235060181,722930,981.36
2021S051235060182,723155,981.31
2021S051235060183,723890,981.19
2021S051235060184,723890,981.19
2021S051235060185,724235,981.13
2021S051235060186,723825,981.12
2021S051235060187,724235,981.13
2021S051235060188,724545,981
2021S051235060189,724545,981
2021S051235060192,724730,981.01
2021S051235060194,724730,981.01
2021S051235060195,724730,981.01
2021S051235060196,724730,981.01
2021S051235060197,724730,981.01
2021S051235060198,724730,981.01
2021S051235060199,724730,981.01
2021S051235060200,724730,981.01
2021S051235060201,724730,981.01
2021S051235060202,724730,981.01
2021S051235060205,724320,981.01
2021S051235060206,724730,981.01
2021S051235060207,723945,981.19
2021S051235060208,724135,980.99
2021S051235060209,723945,981.19
2021S051235060210,723945,981.19
2021S051235060211,724510,981.22
2021S051235060213,725545,980.76
2021S051235060219,725545,980.76
2021S051235060220,725545,980.76
2021S051235060221,725545,980.76
2021S051235060222,725170,980.95
2021S051235060223,724490,981.08
2021S051235060224,724490,981.08
2021S051235060225,723675,981.33
2021S051235060226,723675,981.33
2021S051235060227,723350,981.46
2021S051235060228,723350,981.46
2021S051235060229,723350,981.46
2021S051235060230,723165,981.44
2021S051235060231,723165,981.44
2021S051235060232,723165,981.44
2021S051235060233,722855,981.57
2021S051235060234,722855,981.57
2021S051235060236,723125,981.43
2021S051235060237,723500,981.25
2021S051235060243,725920,980.73
2021S051235060246,726035,980.69
2021S051235060249,726345,980.72
2021S051235060251,726345,980.72
2021S051235060252,726345,980.72
2021S051235060253,727080,980.46
2021S051235060254,727080,980.46
2021S051235060255,726410,980.65
2021S051235060264,725530,980.97
2021S051235060267,725530,980.97
2021S051235060280,726835,980.6
2021S051235060282,727950,980.35
2021S051235060283,729140,980.15
2021S051235060285,730295,979.8
2021S051235060286,730295,979.8
2021S051235060287,730435,979.73
2021S051235060288,730685,979.46
2021S051235060289,730685,979.46
2021S051235060290,730685,979.46
2021S051235060291,730685,979.46
2021S051235060292,730900,979.43
2021S051235060293,730900,979.43
2021S051235060294,730685,979.46
2021S051235060295,730685,979.46
2021S051235060296,730685,979.46
2021S051235060297,730685,979.46
2021S051235060298,730685,979.46
2021S051235060300,729785,979.82
2021S051235060301,730365,979.65
2021S051235060305,728765,979.93
2021S051235060306,728455,980
2021S051235060307,727515,980.14
2021S051235060308,727070,980.33
2021S051235060310,728675,979.96
2021S051235060312,729275,980.04
2021S051235060313,728805,980.1
2021S051235060314,728010,980.13
2021S051235060315,727775,980.29
2021S051235060324,726035,980.66
2021S051235060325,726815,980.39
2021S051235060327,726970,980.34
2021S051235060329,725780,980.69
2021S051235060330,726035,980.66
2021S051235060331,726255,980.51
2021S051235060332,726210,980.55
2021S051235060333,726565,980.56
2021S051235060334,727100,980.51
2021S051235060336,727520,980.35
2021S051235060337,727520,980.35
2021S051235060338,727240,980.45
2021S051235060339,727520,980.35
2021S051235060343,727520,980.35
2021S051235060345,727775,980.29
2021S051235060346,727675,980.3
2021S051235060347,728260,980.17
2021S051235060348,729180,980.07
2021S051235060353,729435,980.08
2021S051235060354,730180,979.91
2021S051235060360,729495,980
2021S051235060361,729275,980.04
2021S051235060364,730930,979.68
2021S051235060366,730440,979.78
2021S051235060367,729275,980.04
2021S051235060368,728805,980.1
2021S051235060371,731625,979.46
2021S051235060373,731840,979.43
2021S051235060375,731840,979.43
2021S051235060379,732575,979.34
2021S051235060380,732075,979.58
2021S051235060381,732075,979.58
2021S051235060382,732075,979.58
2021S051235060383,732075,979.58
2021S051235060384,731860,979.61
2021S051235060385,731860,979.61
2021S051235060386,731540,979.8
2021S051235060387,731860,979.61
2021S051235060388,731540,979.8
2021S051235060389,730195,980.1
2021S051235060390,731860,979.61
2021S051235060391,731860,979.61
2021S051235060392,731625,979.46
2021S051235060393,731625,979.46
2021S051235060394,731625,979.46
2021S051235060395,731625,979.46
2021S051235060396,731270,979.91
2021S051235060397,731840,979.43
2021S051235060399,728535,980.47
2021S051235060400,728150,980.26
2021S051235060401,728050,980.27
2021S051235060402,728050,980.27
2021S051235060403,728050,980.27
2021S051235060404,727895,980.32
2021S051235060405,728050,980.27
2021S051235060406,727895,980.32
2021S051235060407,727895,980.32
2021S051235060408,727895,980.32
2021S051235060412,732575,979.34
2021S051235060413,733150,979.25
2021S051235060417,733150,979.25
2021S051235060419,733150,979.25
2021S051235060434,733650,979.18
2021S051235060435,733985,979.25
2021S051235060436,733985,979.25
2021S051235060437,733650,979.18
2021S051235060438,734435,979.19
2021S051235060439,734710,979.1
2021S051235060440,734710,979.1
2021S051235060443,736155,978.84
2021S051235060444,736155,978.84
2021S051235060445,736155,978.84
2021S051235060446,736380,978.96
2021S051235060447,736105,978.95
2021S051235060448,735880,978.94
2021S051235060449,735880,978.94
2021S051235060450,735870,978.8
2021S051235060451,735645,978.79
2021S051235060452,736235,978.72
2021S051235060455,735645,978.79
