DAUID,DGUID,Total_jobs_75,HHI_75,simpsons_75,Total_jobs_100,HHI_100,simpsons_100,Total_jobs_125,HHI_125,simpsons_125,Total_jobs_150,HHI_150,simpsons_150
35250996,2021S051235250996,3056325,777.5351961047899,0.9222464803895211,4142890,775.4266664491671,0.9224573333550833,4811265,774.4045505608697,0.922559544943913,5070955,772.5308577592311,0.9227469142240768
35250997,2021S051235250997,3063000,777.4427144238059,0.9222557285576194,4141180,775.4269519594441,0.9224573048040556,4810430,774.4213932241939,0.9225578606775806,5070565,772.5690348676319,0.9227430965132368
35250998,2021S051235250998,3204235,777.1239305998508,0.9222876069400149,4204060,775.204537431628,0.9224795462568371,4851900,774.0613467326286,0.9225938653267372,5082765,772.3425963274228,0.9227657403672577
35250999,2021S051235250999,3134085,777.2139166174369,0.9222786083382564,4182225,775.3498939130717,0.9224650106086928,4843025,774.0921369727266,0.9225907863027274,5081730,772.366127218075,0.9227633872781925
35251000,2021S051235251000,3128930,777.493449659817,0.9222506550340183,4162435,775.3310643109504,0.922466893568905,4819340,774.2721270169244,0.9225727872983076,5073530,772.4628684224624,0.9227537131577538
35251001,2021S051235251001,3165165,777.2918971138502,0.922270810288615,4174090,775.3271999529786,0.9224672800047021,4827970,774.2129740847173,0.9225787025915283,5073685,772.4999937087424,0.9227500006291258
35251002,2021S051235251002,3162520,777.3699078462801,0.922263009215372,4171195,775.2792726863944,0.9224720727313606,4827905,774.1736736810672,0.9225826326318933,5071920,772.559925631104,0.9227440074368896
35251003,2021S051235251003,2880065,779.8625043322554,0.9220137495667744,4142910,776.2753015116022,0.9223724698488398,4812130,774.3916219757606,0.9225608378024239,5080180,772.2900286546516,0.9227709971345348
35251004,2021S051235251004,2908480,779.4900027073662,0.9220509997292634,4142730,776.1898824975202,0.922381011750248,4814495,774.3940900064143,0.9225605909993586,5079480,772.3030969213411,0.9227696903078659
35251005,2021S051235251005,2898680,779.5614687035066,0.9220438531296493,4140795,776.2033827967082,0.9223796617203291,4813060,774.3862900125854,0.9225613709987415,5077995,772.3254252726312,0.9227674574727369
35251006,2021S051235251006,2864840,780.0825640408979,0.9219917435959102,4129980,776.3252354834918,0.9223674764516508,4805345,774.4414071281043,0.9225558592871896,5078360,772.3125414540158,0.9227687458545984
35251007,2021S051235251007,2835865,780.2133388257685,0.9219786661174232,4124770,776.3667175773328,0.9223633282422667,4798725,774.5420865136261,0.9225457913486373,5075015,772.3801875781564,0.9227619812421843
35251008,2021S051235251008,2923015,778.9775394358143,0.9221022460564186,4129040,776.1012014394214,0.9223898798560579,4814015,774.3755466873862,0.9225624453312614,5074110,772.4178767961498,0.922758212320385
35251009,2021S051235251009,2895250,779.444338741908,0.9220555661258092,4123510,776.1484910309631,0.9223851508969036,4806405,774.4664432879505,0.9225533556712049,5073630,772.4209235611929,0.9227579076438808
35251010,2021S051235251010,2906510,779.1446535011621,0.9220855346498837,4120605,776.1252321826565,0.9223874767817344,4808305,774.4215431104357,0.9225578456889565,5073455,772.4363802521224,0.9227563619747877
35251011,2021S051235251011,3200075,777.724985535375,0.9222275014464625,4198325,775.6975271338094,0.922430247286619,4789180,774.0830071555474,0.9225916992844453,5054220,773.0150750831543,0.9226984924916846
35251012,2021S051235251012,3232030,778.0599631404563,0.9221940036859544,4207400,775.5750113834908,0.9224424988616509,4771055,773.7593515020694,0.9226240648497931,5050400,773.0226591225769,0.9226977340877422
35251013,2021S051235251013,3205025,777.877848071697,0.9222122151928303,4197475,775.630369459062,0.9224369630540938,4771195,773.7926942017492,0.9226207305798251,5049355,773.0190977969739,0.9226980902203026
35251014,2021S051235251014,3188195,777.7834259064425,0.9222216574093558,4187210,775.7496619256447,0.9224250338074356,4770225,773.8136245546975,0.9226186375445302,5047370,773.027824886042,0.9226972175113958
35251015,2021S051235251015,3211450,777.9920812091956,0.9222007918790804,4196505,775.691342039709,0.9224308657960291,4765095,773.7196539421426,0.9226280346057858,5048310,773.0255343008236,0.9226974465699176
35251016,2021S051235251016,3150585,777.5040956235063,0.9222495904376493,4163740,775.3767659652806,0.9224623234034719,4817380,774.270977290919,0.9225729022709082,5068030,772.7391690171528,0.9227260830982847
35251017,2021S051235251017,3134320,777.5184856666326,0.9222481514333367,4158305,775.3942278847495,0.9224605772115251,4813265,774.3393058276995,0.9225660694172301,5067335,772.772969981895,0.9227227030018105
